回号,抽選日,n1,n2,n3,n4,n5,n6,n7,bonus1,bonus2,p1_cnt,p2_cnt,p3_cnt,p4_cnt,p5_cnt,p6_cnt,p1_yen,p2_yen,p3_yen,p4_yen,p5_yen,p6_yen,carry
626,2025/05/16,1,3,7,12,17,32,34,14,30,0,7,84,4690,81366,131630,0,6952100,667300,7200,1400,1000,410892875
625,2025/05/09,3,10,12,18,19,24,32,4,15,1,3,121,6004,89063,151776,420020500,16607600,474300,5700,1300,900,0
624,2025/05/02,2,14,15,26,27,34,36,9,24,2,11,206,8146,116297,202429,895860400,6319400,388700,5900,1400,900,0
623,2025/04/25,9,12,22,26,28,31,37,7,30,1,6,139,7435,124781,213674,1200000000,12275400,610300,6900,1300,1000,1198885675
622,2025/04/18,1,10,28,29,30,33,34,21,27,0,9,113,5777,95242,170185,0,7569700,694400,8200,1600,1100,1781479320
621,2025/04/11,1,2,12,13,14,30,36,9,24,0,7,87,5161,88530,175012,0,8715900,807800,8200,1600,1000,1202205675
620,2025/04/04,2,4,8,10,12,29,32,6,13,1,11,160,8655,128170,204580,1200000000,6287200,497900,5500,1200,900,695876615
619,2025/03/28,8,9,18,20,27,29,32,7,12,0,15,151,7190,110787,190055,0,4182400,478500,6000,1300,900,1300543185
618,2025/03/21,7,17,20,23,24,34,36,25,35,0,5,105,5328,89467,144750,0,11191500,613800,7300,1400,1100,768982020
617,2025/03/14,2,6,10,12,25,28,35,27,31,1,15,186,7781,121794,194794,1200000000,4639700,431000,6200,1300,1000,298721810
616,2025/03/07,7,15,20,28,29,34,36,1,35,0,5,127,6128,96876,154738,0,11794900,534900,6700,1400,1100,913032910
615,2025/02/28,4,11,21,26,27,28,33,10,13,0,5,100,5119,83956,150454,0,9904300,570400,6700,1300,900,423508450
614,2025/02/21,14,21,22,23,24,28,34,5,37,2,6,78,4122,71114,124158,207555000,8222100,728500,8300,1600,1100,0
613,2025/02/14,3,5,6,10,19,21,35,13,27,1,12,233,7688,98001,154525,453102600,4477900,265600,4800,1200,1000,0
612,2025/02/07,5,13,16,23,27,31,34,26,33,1,3,137,5619,79216,125666,357391600,19408300,594900,8500,1400,1100,0
611,2025/01/31,7,8,11,18,20,30,34,5,14,1,7,151,6885,103668,167800,805690900,9981300,647700,8300,1300,1000,0
610,2025/01/24,1,8,9,23,24,31,36,21,28,2,13,172,9091,138054,216296,1000000000,6931800,733400,8100,1300,1000,380263390
609,2025/01/17,4,11,12,23,26,32,37,1,9,0,12,156,7808,118584,210772,0,6953000,748700,8700,1400,900,1837033120
608,2025/01/10,7,10,11,18,20,29,30,32,36,0,10,200,8848,132329,194301,0,8639800,604700,8000,1300,1100,1323081880
607,2024/12/27,12,14,20,27,31,34,37,19,21,0,7,115,5671,91878,165827,0,10960200,933900,11100,1600,1100,808753825
606,2024/12/20,9,17,18,20,22,27,36,25,37,0,2,89,4737,75921,123899,0,28280000,889600,9800,1500,1100,338982680
605,2024/12/13,2,8,15,26,28,31,32,19,24,2,868,132,5516,81272,143908,178072800,66200,609900,8500,1400,900,0
604,2024/12/06,4,6,9,12,25,31,36,27,30,1,10,156,6826,102518,169531,752223400,6838400,613600,8200,1300,1000,0
603,2024/11/29,4,9,10,23,28,30,34,18,31,0,4,89,5200,81984,132165,0,14144500,889900,8900,1400,1000,342553405
602,2024/11/22,7,15,18,24,29,31,34,5,25,1,14,129,6357,95864,157071,748847700,4787500,727400,8600,1400,1000,0
601,2024/11/15,4,8,18,20,29,35,37,19,34,0,8,103,4495,69638,121322,0,7034100,764800,10200,1600,1100,341623880
600,2024/11/08,1,2,12,16,19,29,32,9,37,2,9,136,6639,100210,178341,605878500,8344100,773000,9200,1500,1000,0
599,2024/11/01,4,7,16,19,26,31,33,25,29,0,10,142,5733,90065,156943,0,6748600,665300,9600,1500,1000,757610605
598,2024/10/25,1,4,7,11,12,18,26,3,33,0,19,193,7561,99897,159869,0,2948300,406300,6000,1100,800,346336115
597,2024/10/18,2,4,14,15,22,27,34,1,5,1,11,129,5777,82197,127887,340034100,5127300,612000,8000,1300,1100,0
596,2024/10/11,1,9,16,19,23,29,32,5,37,1,16,102,5176,79044,135746,348533900,3568100,783500,9000,1400,1000,0
595,2024/10/04,14,15,16,19,25,28,33,6,29,2,5,102,4906,83017,145095,366536500,13147500,902200,11000,1600,1100,0
594,2024/09/27,5,12,21,25,27,34,36,10,32,0,4,98,4775,75500,122949,0,14140200,808000,9700,1500,1100,340766705
593,2024/09/20,3,8,9,14,15,22,32,1,12,2,12,156,6549,93941,150668,170952500,4721900,508500,7100,1200,900,0
592,2024/09/13,3,8,11,15,19,24,32,14,30,4,5,246,7760,95465,138086,87523300,11570100,329200,6100,1200,1000,0
591,2024/09/06,4,7,8,11,21,23,35,10,24,1,5,159,6292,95260,162045,363216400,11968400,526900,7800,1200,900,0
590,2024/08/30,1,3,9,10,15,25,35,19,28,1,9,139,6431,98541,162083,775029900,7570500,686200,8700,1400,1000,0
589,2024/08/23,1,6,8,9,14,29,33,5,23,0,6,108,5366,87189,151319,0,9836500,765000,9000,1300,900,365379630
588,2024/08/16,3,5,9,13,15,21,31,12,17,1,7,162,8288,112218,187524,866631700,10000200,604900,6900,1200,900,0
587,2024/08/09,15,18,21,22,23,25,32,1,30,1,6,96,5667,97589,158922,1000000000,12684600,1109800,11000,1500,1100,440637795
586,2024/08/02,1,2,4,14,15,22,23,13,36,1,13,145,7369,115199,198040,1000000000,6435200,807700,9300,1400,1000,968941030
585,2024/07/26,6,11,13,14,16,27,34,12,25,1,7,125,7130,114634,192783,1000000000,11717100,918600,9400,1400,1000,1456719310
584,2024/07/19,10,11,12,17,23,30,36,20,21,0,13,155,7946,118488,180140,0,6183900,726100,8300,1300,1100,1955353800
583,2024/07/12,1,5,8,9,20,30,37,11,26,0,8,151,6683,105944,191744,0,9744000,722700,9500,1400,1000,1470132865
582,2024/07/05,5,7,22,29,30,32,36,3,33,1,8,133,6835,113226,193754,1000000000,10538700,887400,10100,1500,1000,997731440
581,2024/06/28,3,8,10,15,18,23,37,17,24,2,12,226,8914,138044,238776,1000000000,7743100,575500,8500,1300,900,1482952630
580,2024/06/21,4,13,14,15,17,27,33,2,11,0,9,156,7544,125163,210700,0,9826200,793600,9600,1400,1000,2147483647
579,2024/06/14,7,19,23,33,34,35,36,5,10,1,11,135,7206,123035,201669,1000000000,8436500,962300,10500,1500,1100,2147483647
578,2024/06/07,2,15,19,20,22,31,36,13,23,0,13,149,6696,107198,202202,0,6769900,826900,10700,1600,1000,2147483647
577,2024/05/31,11,13,19,25,29,36,37,18,30,1,9,170,7663,125128,223594,1000000000,10372100,768700,10000,1500,1000,2147483647
576,2024/05/24,11,13,14,18,19,23,31,7,27,0,12,135,7859,120892,228683,0,7195900,895400,9000,1400,900,2147483647
575,2024/05/17,2,12,18,20,25,28,30,9,23,0,13,115,6351,106422,195726,0,6423800,1016600,10800,1500,1000,2147483647
574,2024/05/10,4,5,13,16,22,23,35,36,37,0,14,143,6932,109148,176949,0,5613800,769400,9300,1400,1100,1669082515
573,2024/05/03,11,12,18,19,23,26,31,15,25,0,5,145,6395,100437,172979,0,14263100,688500,9100,1400,1000,1197840385
572,2024/04/26,1,2,4,19,21,26,28,3,25,0,2,99,5026,89528,156133,0,34481400,975200,11200,1500,1100,768241650
571,2024/04/19,13,26,27,29,30,34,37,2,23,0,4,90,4415,75152,122724,0,14767000,918800,10900,1500,1200,355631760
570,2024/04/12,1,3,9,12,25,26,35,29,31,2,10,271,7496,116111,190659,869044700,8201300,423600,8900,1400,1000,0
569,2024/04/05,12,15,17,22,30,34,35,5,9,0,10,125,5759,99219,194120,0,7651000,856900,10900,1500,900,1236414000
568,2024/03/29,8,18,20,29,30,33,34,5,23,0,7,131,5684,91484,154541,0,9873200,738500,9900,1500,1100,762967010
567,2024/03/22,6,8,16,18,19,34,37,15,30,0,4,93,4514,74726,127866,0,14460300,870700,10500,1500,1100,349829715
566,2024/03/15,3,5,18,25,28,35,37,7,8,1,8,154,6517,96769,195295,537618600,8900300,647200,8900,1400,900,0
565,2024/03/08,3,6,9,11,19,30,36,1,33,2,35,211,9469,130014,207730,1000000000,2424200,562900,7300,1300,1000,106747050
564,2024/03/01,9,13,15,18,22,24,30,6,27,1,24,210,9438,145843,233839,1000000000,3852600,616400,8000,1200,900,1599136785
563,2024/02/23,1,4,6,14,16,19,31,12,18,0,8,159,6606,105711,186298,0,10311600,726300,10200,1500,1100,2021090665
562,2024/02/16,2,14,15,20,28,30,34,3,4,0,11,120,5777,98816,180288,0,7384100,947600,11500,1600,1100,1524980265
561,2024/02/09,6,8,19,20,27,32,37,13,33,1,8,127,6394,108253,188802,1000000000,10820000,954100,11100,1600,1100,1035102155
560,2024/02/02,3,20,29,32,33,34,35,2,24,0,8,148,6031,98805,166341,0,10266300,776800,11100,1600,1200,1514273370
559,2024/01/26,3,4,10,13,15,18,22,2,16,0,13,134,6251,100486,162847,0,5473800,743400,9300,1400,1000,1015997335
558,2024/01/19,15,20,21,22,23,26,34,6,10,0,7,86,4835,80066,138145,0,9408900,1072100,11100,1600,1100,578024470
557,2024/01/12,3,5,7,10,17,18,35,2,21,1,14,146,6976,110129,180274,1000000000,5228100,701800,8600,1300,1000,171654495
556,2024/01/05,17,20,26,28,29,33,35,1,6,0,4,84,4436,72365,122241,0,14527600,968400,10700,1600,1100,732601355
555,2023/12/29,9,12,17,19,26,32,34,11,22,0,8,108,5749,87701,152455,0,7828000,811700,8900,1400,1000,377317740
554,2023/12/22,4,10,15,17,29,32,36,13,30,1,12,191,7069,103729,172086,792744800,6025600,529900,8400,1400,1000,0
553,2023/12/15,2,6,13,15,16,20,33,9,28,0,6,110,4101,68147,137167,0,9757600,745100,11700,1700,1000,356888310
552,2023/12/08,7,11,12,16,18,33,34,1,14,1,6,91,5089,84631,139227,366833400,9987700,921900,9600,1400,1000,0
551,2023/12/01,15,16,17,22,29,32,37,23,24,1,14,98,4376,74056,133852,360740200,4153100,830600,10900,1500,1000,0
550,2023/11/24,7,8,13,22,24,29,30,10,35,1,6,107,5318,85450,139581,355939600,9698900,761300,8900,1300,1000,0
549,2023/11/17,13,19,20,28,33,34,35,4,32,1,7,81,4913,83442,150753,780388600,9876200,1194800,11500,1600,1100,0
548,2023/11/10,1,13,16,17,18,25,30,20,34,0,2,85,4195,74141,123770,0,30060800,990200,11700,1600,1200,359358250
547,2023/11/03,4,11,14,18,23,25,29,17,32,2,20,145,8399,124447,208190,875502100,3981200,768700,7700,1200,900,0
546,2023/10/27,7,14,17,28,33,35,36,13,27,1,24,216,9142,130819,230481,1000000000,3629800,564600,7800,1300,900,1257626450
545,2023/10/20,3,12,16,17,27,30,34,15,37,0,14,162,7548,115393,192578,0,5862500,709200,8900,1400,1000,1727480875
544,2023/10/13,10,11,18,21,22,29,34,4,32,0,10,127,6507,101005,178633,0,7362700,811600,9200,1400,1000,1226494485
543,2023/10/06,2,11,13,18,23,24,36,17,26,0,6,128,6228,96296,160064,0,11490200,754000,9000,1400,1000,779041445
542,2023/09/29,2,9,26,31,33,35,36,15,20,0,6,57,3951,71166,136784,0,9690100,1427900,12000,1600,1000,355270600
541,2023/09/22,6,14,23,25,27,28,34,19,37,3,5,118,5478,87354,149062,214363900,13141400,779500,9800,1500,1100,0
540,2023/09/15,3,7,10,18,19,28,36,13,26,1,8,208,8111,118372,191843,1000000000,9351500,503500,7500,1200,900,253416760
539,2023/09/08,4,6,8,18,20,27,35,24,26,0,11,130,6110,95689,169636,0,6340000,751000,9300,1400,1000,788274925
538,2023/09/01,1,2,11,12,16,25,28,6,22,0,14,137,6204,91770,152580,0,4363900,624300,8000,1300,1000,365023765
537,2023/08/25,2,3,9,13,14,35,37,4,17,2,10,118,5834,101012,184920,591245200,7528900,893200,10500,1500,1000,0
536,2023/08/18,8,12,16,17,22,28,34,9,37,1,14,263,7787,118669,196925,1000000000,5789500,431400,8500,1300,1000,734146400
535,2023/08/11,5,11,12,19,29,32,36,9,26,0,12,145,6372,101038,186976,0,6008000,696000,9200,1400,900,1240705000
534,2023/08/04,10,17,18,19,20,24,25,30,32,0,20,94,5334,87257,159883,0,3650500,1087300,11200,1600,1100,798902130
